name,category,subcategory,description,featured
WindProbe.com,Niche,Climate / Energy,"Direct-match brand for wind monitoring, renewable energy analytics, or atmospheric sensor platforms.",false
Basiphobia.com,Health,Therapy,"Niche health domain for phobia therapy resources, mental wellness platforms, or clinical content.",false
RankASI.com,AI,Analytics,"Ranking-focused AI brand for model benchmarking, ASI leaderboards, or comparative intelligence analytics.",false
MCPLocator.com,AI,Developer Tools,"Direct-match utility for MCP server discovery, registry, and Model Context Protocol tooling.",false
TheHiveAi.com,AI,Data,AI orchestration and intelligence positioning for B2B platforms and tools.,true
Axlinc.com,Brandable,SaaS,"Short corporate brandable for industrial, logistics, or B2B service ventures.",false
Snuggle.ai,AI,Consumer,Friendly consumer AI brand with strong memorability and broad product potential.,false
Advantech.ai,AI,Enterprise,Enterprise-forward AI brand suitable for automation and applied intelligence products.,false
Hunted.ai,AI,Security,Sharp AI security or threat intelligence brand with strong recall.,false
XMule.com,Brandable,Tech,"Distinctive tech brand with file-sharing heritage, suited for transfer, sync, or storage products.",false
StrategicReserve.co.uk,Fintech,UK,"Authoritative UK financial brand for treasury, reserves, or institutional investment products.",false
Researche.com,Education,Research,"Research-flavored brand for academic platforms, knowledge bases, or scientific publishing ventures.",false
Lvzd.com,Brandable,SaaS,"Premium 4-letter .com brandable for SaaS, fintech, or venture-stage products.",false
Disqualified.xyz,Gaming / Media,Sports / Editorial,"Bold brand for esports, sports media, or controversy-driven editorial platforms.",false
SatoLabs.com,Crypto,Brandable,"Crypto-aligned lab brand evoking Satoshi heritage, suited for blockchain R&D, wallets, or web3 products.",false
Consensus.my,Crypto,Geo,"Personalized consensus brand for blockchain governance, MY-region web3, or community decision tools.",false
Testnet.vc,Crypto,VC,"Direct-match domain for blockchain venture firms, testnet incubators, or web3 launchpad platforms.",false
ProtocolX.xyz,Crypto,Protocol,"Protocol-forward web3 brand for DeFi infrastructure, crosschain bridges, or experimental blockchain layers.",false
Riyadh.ink,Geo,Creative,"Creative-flavored Riyadh brand for design studios, editorial publishing, or KSA culture platforms.",false
Saudi.ad,Geo,Advertising,"Direct-match geo-advertising domain for Saudi marketing, media buying, or promotional platforms.",false
C.com.se,Brandable,Premium Single-Letter,"Ultra-premium single-letter geo domain suitable for Swedish flagship brands or institutional positioning.",false
Cabal.im,Brandable,Community,"Edgy brand for private communities, web3 DAOs, or invite-only platforms.",false
ChessTM.com,Education,Chess,"Trademark-style chess brand for branded products, course platforms, or competitive chess series.",false
FeedLM.com,AI,Developer Tools,"Developer-centric LLM brand suitable for tooling, APIs, or model infrastructure.",true
CheapLM.com,AI,Cost Optimization,Clear value-focused brand for low-cost LLM services or optimization layers.,false
Shameable.com,Brandable,Editorial,"Provocative brand for editorial, social commentary, or accountability-driven media platforms.",false
Carparo.com,Niche,Automotive,"Automotive brandable for car marketplaces, parts retail, or vehicle service platforms.",false
RollbackServices.com,SaaS,DevOps / IT,"Direct-match IT services domain for backup, recovery, or infrastructure rollback platforms.",false
PlaystationRepair.com,Niche,Repair,"Exact-match keyword domain for PlayStation repair services, parts, or troubleshooting content.",false
Btc.Ngo,Crypto,Nonprofit,"Authoritative crypto-philanthropy domain for BTC-denominated charitable giving and nonprofit treasuries.",false
Clipped.xyz,Gaming / Media,Video,"Short-form video brand for clips, highlights, or creator-focused media platforms.",false
RiyadhLab.com,Geo,Tech,"Riyadh-rooted innovation brand for tech labs, startup studios, or R&D platforms.",false
Chessutd.com,Education,Chess,"Chess-community brand for clubs, tournaments, or united chess associations.",false
Package.is,SaaS,Logistics,"Direct-match domain for package tracking, shipping, or logistics SaaS platforms.",false
ClaimAirdrops.com,Crypto,Utility,"Exact-match utility domain for airdrop discovery, claim aggregation, and web3 incentive tracking.",false
AllBankRates.com,Fintech,Comparison,"Comparison-focused fintech domain for banking rates, deposits, and savings product directories.",false
PageCloner.com,SaaS,Developer Tools,"Utility brand for landing-page cloning, web scraping, or low-code site replication tools.",false
BioGab.com,Health,Community,"Health-and-bio community brand for biotech discussions, patient forums, or wellness platforms.",false
UploadGenie.com,SaaS,Utility,"Friendly utility brand for file uploads, cloud storage, or media transfer platforms.",false
Certk.com,SaaS,Education,"Compact brand for certifications, credential management, or training accreditation platforms.",false
Jondary.com,Brandable,SaaS,"Distinctive .com brandable for fintech, SaaS, or premium consumer products.",false
Petlc.com,Brandable,Pet,"Compact brand suited for pet care, veterinary, or pet-tech ventures.",false
Entte.com,Brandable,SaaS,"Short, crisp premium brand for SaaS, fintech, or venture-backed products.",true
Riyadh.gg,Geo,Gaming,"Riyadh-rooted gaming domain for esports orgs, tournament series, or KSA gaming media.",false
Jeddah.gg,Geo,Gaming,"Jeddah-rooted gaming domain for esports orgs, tournament series, or KSA gaming media.",false
Riyadhly.com,Geo,Media,"Geo-native Riyadh brand for media, lifestyle, and local discovery products.",true
AroundSaudi.com,Geo,Travel,Broad Saudi travel and exploration brand for regional content and platforms.,false
ChessCourse.com,Education,Chess,"Exact-match educational domain for chess training, coaching, and course sales.",false
MasterBDSM.com,Niche,Adult,"Authority-style brand for adult education, premium content, or specialty community platforms.",false
WikiSAI.com,AI,Knowledge,"Knowledge-hub style AI domain suitable for tutorials, docs, and community curation.",false
Nub.ai,AI,Brandable,Ultra-short .ai brand with strong startup appeal and broad category fit.,false
Aerbis.com,Brandable,Aerospace,"Aviation-flavored brandable suitable for aerospace, drone, or atmospheric tech ventures.",false
